when	caption
winter	ある日の吉田山
winter	節分@八坂神社
winter	節分@吉田神社
winter	猿回し@寺町六角
winter	天満橋から西をのぞむ
winter	冬の紀伊山地
winter	バスバス@十津川村
winter	熊野本宮大社
winter	秘湯・湯の峰温泉
winter	熊野速玉大社
winter	ちょっとどきっとする名前
winter	熊野那智大社
winter	くまのがわ
winter	くまのがわ
winter	尋常ならざる光景＠神倉神社
winter	神倉神社から新宮を一望。また行きたいな〜。新宮好き
winter	ヤクルト状墓石
winter	高野山。寒かったな...
winter	高野山には小学校もあるんですよ
winter	石舞台古墳
winter	五十鈴川
winter	看板に驚く通行人@伊勢
winter	伊勢に七度...。
winter	手をかざす人々
winter	帰路につく人々
winter	松阪
winter	偕楽園の、梅ではなく桜
winter	相馬野馬追の会場＠南相馬
winter	浜通り某所
winter	この自転車はいかなる経緯でここに打ち上げられたのか?
winter	歯医者もやってたのか＠博多
winter	イモ状物体のならぶ吉野ヶ里遺跡
winter	フォントがいいね
winter	ぬれそぼつビル＠門司港
winter	関門海峡、門司から渡りたいと思います
winter	入口です
winter	下関に向かいましょう
winter	出ました
winter	下関はこんな感じです
winter	原爆ドーム
winter	路面電車の存在感が大きい街である
winter	広島城
winter	呉市街
winter	呉の街を一望
winter	資料館＠広島
winter	広島に現れた力士
winter	尾道
winter	黄色い電車かわいい
winter	浄土寺
winter	倉敷
winter	津山洋学資料館。めっちゃ面白いミュージアムです
spring	ぼてっとしてていいですね
spring	鴨川で遊歩道が一番狭くなるあたり
spring	バス運転手の休憩所@比叡平。ちょっと画面が汚れていますが
spring	元田中
summer	佐賀関
summer	国東半島の磨崖仏
summer	台湾の果物屋
summer	ミャンマー移民の人が多いエリアにて
summer	食べたい
summer	ファミマ
summer	団地（立ち入りと撮影には許可をもらいました）
summer	中正紀念堂
summer	いいね
summer	故宮博物館のガイドのおじさん
summer	かわいい
summer	淡水
summer	淡水
summer	淡水のアビイ・ロード
summer	敦賀の港のコンテナ
summer	金沢21世紀美術館
summer	金沢、京都より京都っぽいかも(?)
summer	金沢のかえるさんたち
summer	犀川
summer	ザ・金沢って感じの風景
summer	早朝の兼六園。誰かはわからん
summer	浅野川
summer	白川郷を撮る人たち
summer	白川郷の家の礎石
summer	知らん人の墓@白川郷
summer	熊野灘だな
fall	蓬莱山から琵琶湖をのぞむ
fall	毘沙門堂
fall	長等公園から大津市街をのぞむ
fall	長等公園いいよね
fall	水色京阪
fall	みどりの京阪
fall	お、おう
fall	光化門前@ソウル
fall	清渓川
fall	鉱山労働者のマネキン@熊野
fall	瀞峡
fall	静かな琵琶湖
