when	caption
winter	下記え
spring	お地蔵さん
spring	法然院の桜
spring	貴船
spring	鳥居本
spring	よくいる人たち
spring	琵琶湖のなかにある離島、沖島を訪問したときの一枚
spring	沖島の鳥
spring	赤山禅院
spring	御堂筋にて
spring	清水寺
spring	清水の裏らへん
spring	高瀬川のあじさい
spring	木屋町六条らへん
spring	大豊神社の狛犬
spring	大豊神社のうさぎ
spring	左の人の耳が長い
summer	蟻鱒鳶ル
summer	ここからしばらくエチオピアの写真です。その1、アディスアベバの路上
summer	アディスアベバの八百屋
summer	ハイレ・セラシエの寝室＠国立博物館
summer	主食、インジェラ。慣れるとけっこう美味しいが、辛い
summer	某地方都市
summer	泊まっていた部屋その1
summer	泊まっていた部屋その2
summer	南部の某農村にて。絶景
summer	牛
summer	ヒッピーみたいな牛
summer	市が立つと村は大賑わい
summer	どうも、お騒がせしております
summer	ジャケ写
summer	きれい
summer	なんとなく京都っぽくもある夕陽
summer	アビイ・ロード
summer	テーブルツリー
summer	電信柱
summer	車中から撮ったら面白い感じになった
summer	帰りの空港にて。カバンも作っていたとは
summer	石清水八幡宮
summer	つくづくいいロゴだよな
summer	無鄰菴
summer	無鄰菴
summer	神戸
summer	神戸市立博物館の前の銅像
summer	あるね
fall	京都国立博物館から京都タワー
fall	馬町
fall	天橋立
fall	伊根
fall	こういう雲はなんというのだろう
fall	道巾せまし君
fall	尋常ならざる光景
fall	横顔
fall	神馬と修学旅行生の共演
fall	日文研の一般公開に行った
fall	庭にこんなのが置かれていた
fall	中之島四丁目2
fall	700円カット
fall	どこを撮っても映える哲学の道
fall	泉屋博古館の前かな？
fall	南禅寺の塔頭
fall	かも
fall	柿を干している＠滋賀県堅田
fall	堅田
fall	摩天楼
fall	こどもさん、っていうのがすごく京都っぽいです
