when	caption
winter	節分＠大山崎神社
winter	音羽山山頂からの眺望。右手から琵琶湖、山科、京都盆地
winter	高瀬川
winter	御香宮神社の鳥居＠伏見
winter	篠山城
winter	北大阪急行 緑地公園駅
winter	賽の河原的な何か＠鴨川
spring	高雄
spring	建勲神社
spring	鴨川
spring	鴨川
spring	近鉄と青年＠鴨川下流
spring	上御霊神社
spring	宝ヶ池
spring	宝ヶ池
spring	上賀茂神社からの眺め
spring	楢の小川＠上賀茂神社
spring	あじさい
spring	あじさい2
spring	堀川
spring	茶道ストリート（小川通）
summer	明治天皇陵＠伏見
fall	青い鴨川
fall	晴天の京都御苑
fall	ねこ＠六角堂
fall	とり＠鴨川
fall	色が多い
fall	消失点
fall	好きな色の組み合わせ
fall	フレームができてる＠上御霊神社
fall	シンドラーのリスト＠府立植物園
fall	知恩院前の坂
fall	トマソン＠北山大宮
fall	賀茂川
fall	東九条で中谷芙二子が<a href="https://liquid-kcua.jp/2020/10/16/exhibition-2020/">インスタレーション</a>をやってたので観に行きました
fall	同上
fall	同上
fall	堀川正面から東を向くと、仏具店の奥に本願寺伝道院がみえる。京都でもっとも好きな風景のひとつ。
fall	西本願寺の門の飾り。Tシャツにプリントしたい
fall	西本願寺で水槽を支える小人たち。
