when	caption
winter	光る眼鏡屋
winter	色合いが淡い
winter	いい感じの三叉路
winter	小川通（茶道ストリート）
winter	いい感じの建物
winter	みかん
winter	カモ・リヴァー
winter	たまたま無料公開日だったので入ってみた陶板名画の庭@北山
winter	同上
winter	私も貸しボートに乗りたい
winter	温泉街みたいな高野川沿い
winter	桜もさることながら、春は芽吹き始めた緑色があざやかですね
winter	真ん中らへんに鴨が2匹いるよ
winter	賀茂川等間隔
winter	白鳥はかなしからずや...
spring	なんらかの花
spring	空
spring	緑深い木造家屋
spring	青空の下の木造家屋
spring	大雨のあとの賀茂川
spring	鹿さん
spring	淡い色のあじさい
spring	光を浴びるあじさい
spring	青のあじさい
spring	人生の交錯
spring	珍客あらわる
spring	行った
summer	垂れ下がるあじさい
summer	うなだれるバク
summer	ひしめきあうゾウ
summer	べっぴんさん（オスかもしれないが）
summer	たばこ＠荒神口
summer	ドラゴンボート＠神泉苑
summer	ちょうどこの日このあたりで神泉苑からアヒルが脱走したらしい
summer	おじさんたち
summer	いつものアングル
summer	祇園祭にかかわるなんらかの物体＠室町四条下ル
