when	caption
winter	左手にタワーが見えますよ
winter	なんとなく東京下町感がある今熊野
winter	芦屋浜団地。屏風。
winter	宝塚。この後、右手に映ってる温泉に入った
winter	近江八幡
winter	赤羽台団地のスターハウス
winter	桐ヶ丘商店街
winter	高島平
winter	高島平
winter	江戸東京たてもの園
winter	江戸東京たてもの園
spring	柳橋っぽいが、兵庫県の明石
spring	須磨の海
spring	須磨の駅
spring	鹿ヶ谷の公園
spring	鹿ヶ谷の訳ありそうなビル
spring	木屋町。ブレッソン風ショットに挑戦しようと思い人の往来を待っていたところ、おじさんが通過してくれた
spring	香港。この1週間後くらいからデモが一気に活発になった。その後の展開はご承知のとおり
spring	高密度な街だ
spring	こんなところ高すぎて怖いよう...。
spring	曇天の大文字
summer	細うで繁盛記@名古屋駅
summer	あいちトリエンナーレ、おもしろかったな〜。
summer	あいトリの作品
summer	瀬戸
summer	瀬戸
summer	あいトリピエロ
summer	同一人物
summer	浄土寺浄土堂
summer	鶴林寺
summer	鶴林寺
summer	鶴林寺
summer	鶴林寺
summer	高砂の工業地帯
summer	よくないですか？
summer	高砂海浜公園で私たちを待っている動物たち
summer	アビイ・ロード
summer	往時の面影をしのばせる高砂市街
summer	富田林
summer	百万遍の老翁
summer	唐突だけど、言われて悪い気はしない。どういたしまして。
fall	おそらく四条大橋から北向きで撮った一枚。京都で撮った写真の中でベスト級。
fall	哲学の道
fall	同上
fall	淀川の向こうに梅田のビル群
fall	梅田の北側って非常に興味深いエリアですよね
fall	東山東一条
fall	汐見橋駅。この駅の漂わせている哀愁はすごい。
fall	大阪市街・西部。などと書くと岸政彦みたいだな。まあ実際、エモいよね
fall	九条商店街
fall	大阪観光の名所・安治川隧道
fall	余呉湖
fall	富山城
fall	立山に抱かれる富山市街
fall	八村塁もこの橋を通ったのだろうか
fall	あのこは貴族
fall	雁木通り@高田
fall	高田世界館でアンパンマン観ました（スケジュール的にそれしか観れなかった）
fall	年末だが雪は降っていなかった
fall	牛に引かれて善光寺参り、っていい言葉ですよね
fall	長野電鉄長野駅のベンチがかわいい
